case_id,from_resource_id,to_resource_id,from_role,to_role,start_time,end_time,task_type
case104,r02,r022,assigner,assignee,2017-05-25 18:46:00,2017-05-29 05:37:00,transfer_of_task
case104,r022,r022,assignee,assignee,2017-05-29 05:37:00,2017-06-04 06:54:00,task_execution
case104,r022,r0211,assignee,approver,2017-06-04 06:54:00,2017-06-20 15:38:00,transfer_of_task
case104,r0211,r0211,approver,approver,2017-06-20 15:38:00,2017-06-24 06:05:00,task_execution
case105,r01,r01,assigner,assigner,2017-03-14 01:59:00,2017-05-24 13:04:00,task_execution
case105,r01,r011,assigner,assignee,2017-05-24 13:04:00,2017-05-25 09:25:00,transfer_of_task
case105,r011,r011,assignee,assignee,2017-05-25 09:25:00,2017-06-05 13:37:00,task_execution
case105,r011,r012,assignee,approver,2017-06-05 13:37:00,2017-06-14 05:42:00,transfer_of_task
case105,r012,r012,approver,approver,2017-06-14 05:42:00,2017-06-30 03:30:00,task_execution
case106,r0,r0,assigner,assigner,2017-03-14 07:54:00,2017-03-26 10:30:00,task_execution
case106,r0,r02,assigner,assignee,2017-03-26 10:30:00,2017-04-01 18:21:00,transfer_of_task
case106,r02,r02,assignee,assignee,2017-04-01 18:21:00,2017-04-04 12:15:00,task_execution
case106,r02,r021,assignee,approver,2017-04-04 12:15:00,2017-04-29 04:32:00,transfer_of_task
case106,r021,r021,approver,approver,2017-04-29 04:32:00,2017-05-18 01:33:00,task_execution
case107,r0,r0,assigner,assigner,2017-05-20 21:41:00,2017-06-10 00:47:00,task_execution
case107,r0,r021,assigner,assignee,2017-06-10 00:47:00,2017-06-19 17:35:00,transfer_of_task
case107,r021,r021,assignee,assignee,2017-06-19 17:35:00,2017-06-20 01:41:00,task_execution
case107,r021,r0212,assignee,approver,2017-06-20 01:41:00,2017-06-21 15:10:00,transfer_of_task
case107,r0212,r0212,approver,approver,2017-06-21 15:10:00,2017-06-22 09:25:00,task_execution
case108,r021,r021,assigner,assigner,2017-04-01 14:32:00,2017-04-13 20:14:00,task_execution
case108,r021,r011,assigner,assignee,2017-04-13 20:14:00,2017-04-25 13:26:00,transfer_of_task
case108,r011,r011,assignee,assignee,2017-04-25 13:26:00,2017-05-02 19:20:00,task_execution
case108,r011,r0212,assignee,approver,2017-05-02 19:20:00,2017-06-10 23:40:00,transfer_of_task
case108,r0212,r0212,approver,approver,2017-06-10 23:40:00,2017-06-24 17:27:00,task_execution
case109,r0,r0,assigner,assigner,2017-03-11 13:17:00,2017-04-03 11:09:00,task_execution
case109,r0,r02,assigner,assignee,2017-04-03 11:09:00,2017-04-14 00:21:00,transfer_of_task
case109,r02,r02,assignee,assignee,2017-04-14 00:21:00,2017-05-13 18:00:00,task_execution
case109,r02,r012,assignee,approver,2017-05-13 18:00:00,2017-05-15 01:39:00,transfer_of_task
case109,r012,r012,approver,approver,2017-05-15 01:39:00,2017-06-04 04:48:00,task_execution
case11,r02,r02,assigner,assigner,2017-03-05 01:30:00,2017-03-28 19:54:00,task_execution
case11,r02,r011,assigner,assignee,2017-03-28 19:54:00,2017-04-05 06:48:00,transfer_of_task
case11,r011,r011,assignee,assignee,2017-04-05 06:48:00,2017-04-19 06:15:00,task_execution
case11,r011,r021,assignee,approver,2017-04-19 06:15:00,2017-04-22 17:32:00,transfer_of_task
case11,r021,r021,approver,approver,2017-04-22 17:32:00,2017-05-10 07:43:00,task_execution
case110,r0,r0,assigner,assigner,2017-03-26 00:35:00,2017-04-13 05:41:00,task_execution
case110,r0,r011,assigner,assignee,2017-04-13 05:41:00,2017-04-24 20:03:00,transfer_of_task
case110,r011,r011,assignee,assignee,2017-04-24 20:03:00,2017-05-10 08:48:00,task_execution
case110,r011,r012,assignee,approver,2017-05-10 08:48:00,2017-05-15 04:09:00,transfer_of_task
case110,r012,r012,approver,approver,2017-05-15 04:09:00,2017-06-28 02:13:00,task_execution
case111,r0,r0,assigner,assigner,2017-03-02 19:40:00,2017-03-20 00:53:00,task_execution
case111,r0,r011,assigner,assignee,2017-03-20 00:53:00,2017-04-18 17:05:00,transfer_of_task
case111,r011,r011,assignee,assignee,2017-04-18 17:05:00,2017-04-25 02:19:00,task_execution
case111,r011,r0211,assignee,approver,2017-04-25 02:19:00,2017-05-10 00:06:00,transfer_of_task
case111,r0211,r0211,approver,approver,2017-05-10 00:06:00,2017-05-29 07:15:00,task_execution
case112,r012,r012,assigner,assigner,2017-03-06 05:52:00,2017-04-15 21:26:00,task_execution
case112,r012,r022,assigner,assignee,2017-04-15 21:26:00,2017-04-23 17:55:00,transfer_of_task
case112,r022,r022,assignee,assignee,2017-04-23 17:55:00,2017-04-26 14:55:00,task_execution
case112,r022,r011,assignee,approver,2017-04-26 14:55:00,2017-05-28 12:00:00,transfer_of_task
case112,r011,r011,approver,approver,2017-05-28 12:00:00,2017-06-15 13:03:00,task_execution
case113,r02,r02,assigner,assigner,2017-03-22 08:08:00,2017-04-04 00:38:00,task_execution
case113,r02,r021,assigner,assignee,2017-04-04 00:38:00,2017-04-15 23:55:00,transfer_of_task
case113,r021,r021,assignee,assignee,2017-04-15 23:55:00,2017-04-25 00:00:00,task_execution
case113,r021,r022,assignee,approver,2017-04-25 00:00:00,2017-06-13 01:12:00,transfer_of_task
case113,r022,r022,approver,approver,2017-06-13 01:12:00,2017-06-20 07:42:00,task_execution
case114,r0,r0,assigner,assigner,2017-03-09 10:00:00,2017-04-15 10:26:00,task_execution
case114,r0,r01,assigner,assignee,2017-04-15 10:26:00,2017-04-26 11:41:00,transfer_of_task
case114,r01,r01,assignee,assignee,2017-04-26 11:41:00,2017-05-05 18:41:00,task_execution
case114,r01,r02,assignee,approver,2017-05-05 18:41:00,2017-05-23 22:05:00,transfer_of_task
case114,r02,r02,approver,approver,2017-05-23 22:05:00,2017-06-28 10:32:00,task_execution
case115,r02,r02,assigner,assigner,2017-03-09 16:51:00,2017-05-03 22:06:00,task_execution
case115,r02,r012,assigner,assignee,2017-05-03 22:06:00,2017-05-15 23:28:00,transfer_of_task
case115,r012,r012,assignee,assignee,2017-05-15 23:28:00,2017-06-08 01:48:00,task_execution
case115,r012,r0211,assignee,approver,2017-06-08 01:48:00,2017-06-14 18:49:00,transfer_of_task
case115,r0211,r0211,approver,approver,2017-06-14 18:49:00,2017-06-25 13:22:00,task_execution
case116,r022,r022,assigner,assigner,2017-04-16 02:58:00,2017-04-26 18:20:00,task_execution
case116,r022,r021,assigner,assignee,2017-04-26 18:20:00,2017-04-27 15:59:00,transfer_of_task
case116,r021,r021,assignee,assignee,2017-04-27 15:59:00,2017-05-23 18:21:00,task_execution
case116,r021,r0211,assignee,approver,2017-05-23 18:21:00,2017-05-24 10:13:00,transfer_of_task
case116,r0211,r0211,approver,approver,2017-05-24 10:13:00,2017-06-19 11:01:00,task_execution
case117,r0,r0,assigner,assigner,2017-04-04 10:20:00,2017-04-07 06:00:00,task_execution
case117,r0,r022,assigner,assignee,2017-04-07 06:00:00,2017-05-03 23:15:00,transfer_of_task
case117,r022,r022,assignee,assignee,2017-05-03 23:15:00,2017-05-11 11:31:00,task_execution
case117,r022,r012,assignee,approver,2017-05-11 11:31:00,2017-05-26 14:31:00,transfer_of_task
case117,r012,r012,approver,approver,2017-05-26 14:31:00,2017-06-22 04:45:00,task_execution
case118,r01,r01,assigner,assigner,2017-03-19 13:13:00,2017-04-30 12:25:00,task_execution
case118,r01,r012,assigner,assignee,2017-04-30 12:25:00,2017-05-17 05:09:00,transfer_of_task
case118,r012,r012,assignee,assignee,2017-05-17 05:09:00,2017-05-28 19:52:00,task_execution
case118,r012,r021,assignee,approver,2017-05-28 19:52:00,2017-06-03 20:53:00,transfer_of_task
case118,r021,r021,approver,approver,2017-06-03 20:53:00,2017-06-27 11:50:00,task_execution
case119,r022,r022,assigner,assigner,2017-03-16 10:37:00,2017-03-22 20:25:00,task_execution
case119,r022,r021,assigner,assignee,2017-03-22 20:25:00,2017-05-12 01:19:00,transfer_of_task
case119,r021,r021,assignee,assignee,2017-05-12 01:19:00,2017-05-20 02:15:00,task_execution
case119,r021,r0212,assignee,approver,2017-05-20 02:15:00,2017-05-23 04:47:00,transfer_of_task
case119,r0212,r0212,approver,approver,2017-05-23 04:47:00,2017-06-30 09:03:00,task_execution
case12,r0,r0,assigner,assigner,2017-04-11 20:49:00,2017-05-27 10:47:00,task_execution
case12,r0,r021,assigner,assignee,2017-05-27 10:47:00,2017-05-28 07:45:00,transfer_of_task
case12,r021,r021,assignee,assignee,2017-05-28 07:45:00,2017-06-01 17:44:00,task_execution
case12,r021,r012,assignee,approver,2017-06-01 17:44:00,2017-06-05 17:18:00,transfer_of_task
case12,r012,r012,approver,approver,2017-06-05 17:18:00,2017-06-17 17:58:00,task_execution
case120,r012,r012,assigner,assigner,2017-03-19 14:35:00,2017-04-03 16:54:00,task_execution
case120,r012,r022,assigner,assignee,2017-04-03 16:54:00,2017-04-17 05:43:00,transfer_of_task
case120,r022,r022,assignee,assignee,2017-04-17 05:43:00,2017-05-21 07:00:00,task_execution
case120,r022,r011,assignee,approver,2017-05-21 07:00:00,2017-06-01 15:15:00,transfer_of_task
case120,r011,r011,approver,approver,2017-06-01 15:15:00,2017-06-13 22:13:00,task_execution
case121,r0,r0,assigner,assigner,2017-04-14 17:52:00,2017-05-12 08:39:00,task_execution
case121,r0,r011,assigner,assignee,2017-05-12 08:39:00,2017-05-24 20:01:00,transfer_of_task
case121,r011,r011,assignee,assignee,2017-05-24 20:01:00,2017-05-29 20:35:00,task_execution
case121,r011,r021,assignee,approver,2017-05-29 20:35:00,2017-06-08 20:57:00,transfer_of_task
case121,r021,r021,approver,approver,2017-06-08 20:57:00,2017-06-10 05:22:00,task_execution
case122,r02,r02,assigner,assigner,2017-04-14 22:35:00,2017-04-22 13:27:00,task_execution
case122,r02,r0212,assigner,assignee,2017-04-22 13:27:00,2017-05-16 07:06:00,transfer_of_task
case122,r0212,r0212,assignee,assignee,2017-05-16 07:06:00,2017-06-08 23:54:00,task_execution
case122,r0212,r0211,assignee,approver,2017-06-08 23:54:00,2017-06-11 21:39:00,transfer_of_task
case122,r0211,r0211,approver,approver,2017-06-11 21:39:00,2017-06-28 01:16:00,task_execution
case123,r0,r0,assigner,assigner,2017-03-04 00:56:00,2017-03-16 21:54:00,task_execution
case123,r0,r01,assigner,assignee,2017-03-16 21:54:00,2017-03-30 03:05:00,transfer_of_task
case123,r01,r01,assignee,assignee,2017-03-30 03:05:00,2017-04-04 00:08:00,task_execution
case123,r01,r012,assignee,approver,2017-04-04 00:08:00,2017-04-13 22:15:00,transfer_of_task
case123,r012,r012,approver,approver,2017-04-13 22:15:00,2017-06-17 06:27:00,task_execution
case124,r0,r0,assigner,assigner,2017-03-28 14:28:00,2017-04-22 20:26:00,task_execution
case124,r0,r021,assigner,assignee,2017-04-22 20:26:00,2017-06-08 20:06:00,transfer_of_task
case124,r021,r021,assignee,assignee,2017-06-08 20:06:00,2017-06-18 18:22:00,task_execution
case124,r021,r0211,assignee,approver,2017-06-18 18:22:00,2017-06-28 04:23:00,transfer_of_task
case124,r0211,r0211,approver,approver,2017-06-28 04:23:00,2017-06-30 11:16:00,task_execution
case125,r0,r0,assigner,assigner,2017-03-22 16:57:00,2017-04-25 11:40:00,task_execution
case125,r0,r021,assigner,assignee,2017-04-25 11:40:00,2017-05-06 19:12:00,transfer_of_task
case125,r021,r021,assignee,assignee,2017-05-06 19:12:00,2017-05-19 06:55:00,task_execution
case125,r021,r0211,assignee,approver,2017-05-19 06:55:00,2017-05-24 07:21:00,transfer_of_task
case125,r0211,r0211,approver,approver,2017-05-24 07:21:00,2017-06-03 01:01:00,task_execution
case126,r01,r01,assigner,assigner,2017-03-21 14:10:00,2017-04-05 10:08:00,task_execution
case126,r01,r012,assigner,assignee,2017-04-05 10:08:00,2017-04-06 12:29:00,transfer_of_task
case126,r012,r012,assignee,assignee,2017-04-06 12:29:00,2017-04-23 21:09:00,task_execution
case126,r012,r021,assignee,approver,2017-04-23 21:09:00,2017-06-10 13:05:00,transfer_of_task
case126,r021,r021,approver,approver,2017-06-10 13:05:00,2017-06-28 12:46:00,task_execution
case127,r022,r022,assigner,assigner,2017-03-23 03:35:00,2017-04-11 14:49:00,task_execution
case127,r022,r021,assigner,assignee,2017-04-11 14:49:00,2017-04-30 18:10:00,transfer_of_task
case127,r021,r021,assignee,assignee,2017-04-30 18:10:00,2017-05-15 19:49:00,task_execution
case127,r021,r0212,assignee,approver,2017-05-15 19:49:00,2017-05-23 01:17:00,transfer_of_task
case127,r0212,r0212,approver,approver,2017-05-23 01:17:00,2017-06-23 03:33:00,task_execution
case128,r0,r0,assigner,assigner,2017-03-01 19:29:00,2017-03-21 15:34:00,task_execution
case128,r0,r01,assigner,assignee,2017-03-21 15:34:00,2017-04-22 03:46:00,transfer_of_task
case128,r01,r01,assignee,assignee,2017-04-22 03:46:00,2017-05-09 07:46:00,task_execution
case128,r01,r021,assignee,approver,2017-05-09 07:46:00,2017-05-14 00:43:00,transfer_of_task
case128,r021,r021,approver,approver,2017-05-14 00:43:00,2017-06-23 13:14:00,task_execution
case129,r0,r0,assigner,assigner,2017-03-01 12:11:00,2017-04-02 12:52:00,task_execution
case129,r0,r01,assigner,assignee,2017-04-02 12:52:00,2017-04-07 12:23:00,transfer_of_task
case129,r01,r01,assignee,assignee,2017-04-07 12:23:00,2017-05-04 23:29:00,task_execution
case129,r01,r0211,assignee,approver,2017-05-04 23:29:00,2017-05-25 17:52:00,transfer_of_task
case129,r0211,r0211,approver,approver,2017-05-25 17:52:00,2017-06-20 23:09:00,task_execution
case13,r01,r01,assigner,assigner,2017-03-04 10:43:00,2017-03-09 07:11:00,task_execution
case13,r01,r011,assigner,assignee,2017-03-09 07:11:00,2017-04-03 01:44:00,transfer_of_task
case13,r011,r011,assignee,assignee,2017-04-03 01:44:00,2017-04-23 01:22:00,task_execution
case13,r011,r0211,assignee,approver,2017-04-23 01:22:00,2017-05-07 19:38:00,transfer_of_task
case13,r0211,r0211,approver,approver,2017-05-07 19:38:00,2017-05-30 17:05:00,task_execution
case130,r011,r011,assigner,assigner,2017-03-08 07:04:00,2017-03-13 16:04:00,task_execution
case130,r011,r012,assigner,assignee,2017-03-13 16:04:00,2017-03-24 21:58:00,transfer_of_task
case130,r012,r012,assignee,assignee,2017-03-24 21:58:00,2017-04-26 03:25:00,task_execution
case130,r012,r0212,assignee,approver,2017-04-26 03:25:00,2017-04-29 13:32:00,transfer_of_task
case130,r0212,r0212,approver,approver,2017-04-29 13:32:00,2017-06-15 07:30:00,task_execution
case131,r0,r0,assigner,assigner,2017-03-05 09:58:00,2017-03-14 08:15:00,task_execution
case131,r0,r022,assigner,assignee,2017-03-14 08:15:00,2017-03-24 15:47:00,transfer_of_task
case131,r022,r022,assignee,assignee,2017-03-24 15:47:00,2017-04-03 14:55:00,task_execution
case131,r022,r0212,assignee,approver,2017-04-03 14:55:00,2017-05-15 04:12:00,transfer_of_task
case131,r0212,r0212,approver,approver,2017-05-15 04:12:00,2017-05-26 18:21:00,task_execution
case132,r02,r02,assigner,assigner,2017-03-30 04:34:00,2017-05-01 20:16:00,task_execution
case132,r02,r01,assigner,assignee,2017-05-01 20:16:00,2017-05-03 08:21:00,transfer_of_task
case132,r01,r01,assignee,assignee,2017-05-03 08:21:00,2017-06-02 13:31:00,task_execution
case132,r01,r021,assignee,approver,2017-06-02 13:31:00,2017-06-04 16:44:00,transfer_of_task
case132,r021,r021,approver,approver,2017-06-04 16:44:00,2017-06-20 00:38:00,task_execution
case133,r02,r02,assigner,assigner,2017-03-12 05:24:00,2017-03-16 08:47:00,task_execution
case133,r02,r011,assigner,assignee,2017-03-16 08:47:00,2017-03-27 10:08:00,transfer_of_task
case133,r011,r011,assignee,assignee,2017-03-27 10:08:00,2017-04-18 06:50:00,task_execution
case133,r011,r0212,assignee,approver,2017-04-18 06:50:00,2017-05-27 10:29:00,transfer_of_task
case133,r0212,r0212,approver,approver,2017-05-27 10:29:00,2017-06-02 04:37:00,task_execution
case134,r02,r02,assigner,assigner,2017-03-13 19:26:00,2017-04-20 19:05:00,task_execution
case134,r02,r01,assigner,assignee,2017-04-20 19:05:00,2017-04-21 08:15:00,transfer_of_task
case134,r01,r01,assignee,assignee,2017-04-21 08:15:00,2017-05-05 01:35:00,task_execution
case134,r01,r0212,assignee,approver,2017-05-05 01:35:00,2017-06-07 17:02:00,transfer_of_task
case134,r0212,r0212,approver,approver,2017-06-07 17:02:00,2017-06-18 18:04:00,task_execution
case135,r02,r02,assigner,assigner,2017-04-18 16:37:00,2017-04-28 13:09:00,task_execution
case135,r02,r011,assigner,assignee,2017-04-28 13:09:00,2017-05-07 01:17:00,transfer_of_task
case135,r011,r011,assignee,assignee,2017-05-07 01:17:00,2017-05-21 08:32:00,task_execution
case135,r011,r021,assignee,approver,2017-05-21 08:32:00,2017-05-26 09:49:00,transfer_of_task
case135,r021,r021,approver,approver,2017-05-26 09:49:00,2017-06-02 22:19:00,task_execution
case136,r0,r0,assigner,assigner,2017-03-20 06:29:00,2017-04-07 07:02:00,task_execution
case136,r0,r01,assigner,assignee,2017-04-07 07:02:00,2017-04-16 12:56:00,transfer_of_task
case136,r01,r01,assignee,assignee,2017-04-16 12:56:00,2017-05-13 18:55:00,task_execution
case136,r01,r021,assignee,approver,2017-05-13 18:55:00,2017-06-04 02:22:00,transfer_of_task
case136,r021,r021,approver,approver,2017-06-04 02:22:00,2017-06-19 20:41:00,task_execution
case137,r01,r01,assigner,assigner,2017-03-19 12:39:00,2017-04-15 08:38:00,task_execution
case137,r01,r011,assigner,assignee,2017-04-15 08:38:00,2017-05-01 18:25:00,transfer_of_task
case137,r011,r011,assignee,assignee,2017-05-01 18:25:00,2017-05-07 09:18:00,task_execution
case137,r011,r012,assignee,approver,2017-05-07 09:18:00,2017-05-19 17:13:00,transfer_of_task
case137,r012,r012,approver,approver,2017-05-19 17:13:00,2017-05-24 20:17:00,task_execution
case138,r01,r01,assigner,assigner,2017-03-16 02:54:00,2017-03-20 13:21:00,task_execution
case138,r01,r02,assigner,assignee,2017-03-20 13:21:00,2017-04-01 05:24:00,transfer_of_task
case138,r02,r02,assignee,assignee,2017-04-01 05:24:00,2017-04-14 11:06:00,task_execution
case138,r02,r0212,assignee,approver,2017-04-14 11:06:00,2017-05-01 22:01:00,transfer_of_task
case138,r0212,r0212,approver,approver,2017-05-01 22:01:00,2017-06-17 22:24:00,task_execution
case139,r012,r012,assigner,assigner,2017-03-06 23:19:00,2017-03-25 00:36:00,task_execution
case139,r012,r022,assigner,assignee,2017-03-25 00:36:00,2017-04-17 19:29:00,transfer_of_task
case139,r022,r022,assignee,assignee,2017-04-17 19:29:00,2017-05-10 22:23:00,task_execution
case139,r022,r0212,assignee,approver,2017-05-10 22:23:00,2017-05-30 09:04:00,transfer_of_task
case139,r0212,r0212,approver,approver,2017-05-30 09:04:00,2017-06-25 05:30:00,task_execution
case14,r02,r02,assigner,assigner,2017-03-07 05:11:00,2017-03-24 15:43:00,task_execution
case14,r02,r011,assigner,assignee,2017-03-24 15:43:00,2017-04-06 10:36:00,transfer_of_task
case14,r011,r011,assignee,assignee,2017-04-06 10:36:00,2017-04-10 00:40:00,task_execution
case14,r011,r0211,assignee,approver,2017-04-10 00:40:00,2017-05-30 20:36:00,transfer_of_task
case14,r0211,r0211,approver,approver,2017-05-30 20:36:00,2017-06-27 01:35:00,task_execution
case140,r01,r01,assigner,assigner,2017-03-02 02:14:00,2017-03-06 19:32:00,task_execution
case140,r01,r011,assigner,assignee,2017-03-06 19:32:00,2017-03-16 09:12:00,transfer_of_task
case140,r011,r011,assignee,assignee,2017-03-16 09:12:00,2017-03-27 03:07:00,task_execution
case140,r011,r0212,assignee,approver,2017-03-27 03:07:00,2017-05-11 00:31:00,transfer_of_task
case140,r0212,r0212,approver,approver,2017-05-11 00:31:00,2017-05-18 20:22:00,task_execution
case141,r02,r02,assigner,assigner,2017-05-01 06:15:00,2017-05-26 10:15:00,task_execution
case141,r02,r01,assigner,assignee,2017-05-26 10:15:00,2017-06-06 04:17:00,transfer_of_task
case141,r01,r01,assignee,assignee,2017-06-06 04:17:00,2017-06-06 19:53:00,task_execution
case141,r01,r012,assignee,approver,2017-06-06 19:53:00,2017-06-16 01:25:00,transfer_of_task
case141,r012,r012,approver,approver,2017-06-16 01:25:00,2017-06-30 09:33:00,task_execution
case142,r01,r01,assigner,assigner,2017-04-08 02:06:00,2017-04-17 01:16:00,task_execution
case142,r01,r011,assigner,assignee,2017-04-17 01:16:00,2017-04-18 19:37:00,transfer_of_task
case142,r011,r011,assignee,assignee,2017-04-18 19:37:00,2017-04-20 05:36:00,task_execution
case142,r011,r0212,assignee,approver,2017-04-20 05:36:00,2017-04-20 17:16:00,transfer_of_task
case142,r0212,r0212,approver,approver,2017-04-20 17:16:00,2017-06-07 21:03:00,task_execution
case143,r01,r01,assigner,assigner,2017-03-17 19:39:00,2017-03-21 22:17:00,task_execution
case143,r01,r02,assigner,assignee,2017-03-21 22:17:00,2017-04-05 20:37:00,transfer_of_task
case143,r02,r02,assignee,assignee,2017-04-05 20:37:00,2017-04-16 02:36:00,task_execution
case143,r02,r0211,assignee,approver,2017-04-16 02:36:00,2017-05-09 22:15:00,transfer_of_task
case143,r0211,r0211,approver,approver,2017-05-09 22:15:00,2017-06-03 12:44:00,task_execution
case144,r01,r01,assigner,assigner,2017-03-30 09:01:00,2017-05-14 04:04:00,task_execution
case144,r01,r021,assigner,assignee,2017-05-14 04:04:00,2017-05-18 13:47:00,transfer_of_task
case144,r021,r021,assignee,assignee,2017-05-18 13:47:00,2017-05-21 13:32:00,task_execution
case144,r021,r0212,assignee,approver,2017-05-21 13:32:00,2017-06-19 05:35:00,transfer_of_task
case144,r0212,r0212,approver,approver,2017-06-19 05:35:00,2017-06-24 11:46:00,task_execution
case145,r0,r0,assigner,assigner,2017-03-08 20:24:00,2017-03-17 21:45:00,task_execution
case145,r0,r02,assigner,assignee,2017-03-17 21:45:00,2017-04-03 11:13:00,transfer_of_task
case145,r02,r02,assignee,assignee,2017-04-03 11:13:00,2017-04-26 22:56:00,task_execution
case145,r02,r012,assignee,approver,2017-04-26 22:56:00,2017-04-30 14:39:00,transfer_of_task
case145,r012,r012,approver,approver,2017-04-30 14:39:00,2017-05-25 01:27:00,task_execution
case146,r0,r0,assigner,assigner,2017-03-03 03:32:00,2017-03-24 12:45:00,task_execution
case146,r0,r01,assigner,assignee,2017-03-24 12:45:00,2017-04-23 15:14:00,transfer_of_task
case146,r01,r01,assignee,assignee,2017-04-23 15:14:00,2017-06-12 11:36:00,task_execution
case146,r01,r0211,assignee,approver,2017-06-12 11:36:00,2017-06-20 08:47:00,transfer_of_task
case146,r0211,r0211,approver,approver,2017-06-20 08:47:00,2017-06-27 20:01:00,task_execution
case147,r0,r0,assigner,assigner,2017-03-13 15:29:00,2017-03-14 07:40:00,task_execution
case147,r0,r012,assigner,assignee,2017-03-14 07:40:00,2017-04-20 15:47:00,transfer_of_task
case147,r012,r012,assignee,assignee,2017-04-20 15:47:00,2017-05-01 02:38:00,task_execution
case147,r012,r0211,assignee,approver,2017-05-01 02:38:00,2017-05-09 04:51:00,transfer_of_task
case147,r0211,r0211,approver,approver,2017-05-09 04:51:00,2017-06-23 03:28:00,task_execution
case148,r02,r02,assigner,assigner,2017-03-01 20:22:00,2017-04-06 11:50:00,task_execution
case148,r02,r022,assigner,assignee,2017-04-06 11:50:00,2017-05-09 07:01:00,transfer_of_task
case148,r022,r022,assignee,assignee,2017-05-09 07:01:00,2017-05-11 06:54:00,task_execution
case148,r022,r012,assignee,approver,2017-05-11 06:54:00,2017-05-26 03:18:00,transfer_of_task
case148,r012,r012,approver,approver,2017-05-26 03:18:00,2017-06-23 16:32:00,task_execution
case149,r02,r02,assigner,assigner,2017-03-23 14:34:00,2017-03-28 12:29:00,task_execution
case149,r02,r011,assigner,assignee,2017-03-28 12:29:00,2017-04-01 13:10:00,transfer_of_task
case149,r011,r011,assignee,assignee,2017-04-01 13:10:00,2017-04-09 07:32:00,task_execution
case149,r011,r022,assignee,approver,2017-04-09 07:32:00,2017-04-10 15:40:00,transfer_of_task
